,age,skill,height,salary
0,34.0,0.9052180428086714,1.69,3094.830674774674
1,35.0,1.1402087691402136,1.52,3550.6026103049885
2,27.0,0.6025118164209814,1.96,2127.1237889226477
3,33.0,0.11353586818562705,1.87,1670.6164203036842
4,56.0,0.9470513634162256,1.88,5133.235020574209
5,40.0,-0.11948605222617326,1.83,1790.1705127832076
6,59.0,0.415401795155073,2.0,4552.755525872115
7,61.0,-0.02264817892674409,1.82,4076.7793694735124
8,59.0,0.41438401370270644,1.64,4584.015412186998
9,44.0,0.6848649398371672,1.84,3492.5067302041552
10,59.0,0.23632000705462308,1.65,4281.745260951843
11,39.0,0.5627628623545171,1.69,2877.6568680026126
12,56.0,0.6222334300936202,1.83,4587.093632726857
13,27.0,-0.10520034925052169,1.53,938.7648506622314
14,37.0,0.350698195237507,1.87,2353.7923762918804
15,50.0,0.627274967394786,1.88,3953.6151473377613
16,53.0,0.4889050427692334,1.86,4030.028533348414
17,42.0,0.7090112123423363,1.81,3364.5082252343077
18,37.0,0.17050049046131088,1.58,2053.1321074332054
19,33.0,0.7228874628462999,1.56,2710.1450193196806
20,30.0,0.9257379301041759,1.73,2873.39464312851
21,32.0,0.6349425209527759,1.98,2473.240091523803
22,60.0,0.6044998136609254,1.63,5025.694477389906
23,46.0,-0.28033128957782416,1.8,2035.4567412173665
24,21.0,0.14427187365641964,1.91,1069.0054919606773
25,46.0,0.3531275567153656,1.54,3106.2068070568394
26,63.0,0.6945920335285604,1.54,5539.69641763927
27,32.0,0.48427920300427935,1.58,2241.555918756252
28,30.0,0.09905455480086506,1.99,1436.128470188078
29,21.0,0.944464876715525,1.57,2439.8870919840947
30,62.0,0.5089729403129841,1.64,5107.81658742447
31,43.0,0.3931759009539897,1.57,2910.695833189485
32,33.0,0.27040012065996544,1.84,1940.9165376029125
33,54.0,0.6533398755238005,1.84,4418.914120871432
34,36.0,0.3919007978347069,1.78,2359.679530870661
35,26.0,0.7420950897731229,1.91,2320.3049593590727
36,36.0,0.4412154537471266,1.76,2444.6288602625127
37,32.0,0.21712904882049416,1.62,1790.5675575464998
38,46.0,0.3619294912575345,2.0,3096.8526092463003
39,56.0,0.3748717839258586,1.57,4166.578834241662
40,47.0,0.5660192460842232,1.9,3555.5484940041088
41,22.0,0.38209325088350643,1.82,1527.8398001509381
42,48.0,0.9555085561861542,1.59,4323.5537097687975
43,21.0,0.3037649395921398,1.84,1349.6367297876088
44,39.0,0.4099259416870378,1.75,2616.875349826948
45,49.0,0.6969134389020439,1.66,3985.113357860517
46,43.0,0.09377611730302204,1.57,2401.71620098284
47,36.0,0.10655878328669738,1.58,1871.4312052363625
48,47.0,0.4591960806645363,1.74,3388.9938488567545
49,26.0,0.6043312650539644,1.62,2100.8113251433992
50,23.0,0.019240550852570093,2.0,927.2814105578605
51,26.0,0.6779440989695183,1.71,2228.4649702481147
52,31.0,0.24230498938882816,1.55,1764.0189768383423
53,37.0,0.3522955810185645,1.85,2359.002982608894
54,33.0,0.5682373567226445,1.8,2451.023439928163
55,47.0,0.47323677122776964,1.91,3396.2458178319725
56,53.0,0.7933630851212884,1.7,4557.71724470619
57,52.0,1.0156387101144633,1.54,4820.475767835304
58,28.0,0.36571554167073844,1.82,1799.9976944892326
59,39.0,0.6291440462374901,1.59,2985.7340428560688
60,57.0,0.6215861449619094,1.85,4696.796941312581
61,29.0,0.40211652432016154,1.93,1903.9880334345162
62,31.0,0.41714129729483046,1.6,2066.1601389008792
63,29.0,0.5268405460926442,1.8,2132.648861857162
64,32.0,0.8394636836249121,1.64,2849.650851054748
65,57.0,0.3385362682322369,1.86,4214.40161663552
66,63.0,0.2704610611134418,1.85,4819.8842987701855
67,22.0,0.1754495432667919,1.71,1182.2242255534795
68,40.0,0.5114383167551605,1.8,2865.46507198344
69,58.0,0.8678742232074877,1.58,5233.667453101707
70,30.0,0.022493604040074555,1.89,1324.0566605788529
71,60.0,0.23601846059689502,1.74,4400.591894741765
72,57.0,0.8062137815886642,1.81,5014.752592953065
73,62.0,0.09673992212554583,1.98,4378.295673517512
74,42.0,0.7343737862264539,1.68,3412.2754685807054
75,55.0,0.4096723633577244,1.81,4116.632181960466
76,33.0,0.7885951331096521,1.69,2829.5717282863416
77,64.0,0.09046406476787217,1.88,4637.036612872008
78,35.0,0.5583714284676915,1.77,2572.2762225614074
79,22.0,0.6793316766813656,1.88,2026.1115531249466
80,23.0,0.32859819509852944,1.83,1480.9137332352025
81,33.0,0.48786931625412483,1.55,2309.4783325093467
82,62.0,0.7455978395464987,1.9,5495.832102889976
83,36.0,-0.14387815427220052,1.53,1440.0125821253775
84,23.0,0.13225960923284358,1.58,1148.1226093448113
85,25.0,0.29350084667861787,1.85,1515.0519342309847
86,53.0,0.7778338722195904,1.59,4526.50674702564
87,33.0,0.45443081298972043,1.59,2256.72154633486
88,54.0,0.9097491216800371,1.79,4859.3465934982905
89,54.0,0.45858280539855734,1.59,4090.779933429883
90,51.0,0.8498598690619661,1.55,4436.862272282677
91,42.0,0.8850252064755235,1.52,3655.7905537750153
92,60.0,0.6969361006209575,1.88,5172.039073822252
93,23.0,0.5147085863326566,1.94,1781.6155899326504
94,62.0,0.016611715647973535,1.96,4246.093617608534
95,62.0,0.2768344372353515,1.54,4704.508503940815
96,61.0,0.658562145417019,1.55,5231.656142086266
97,32.0,0.47289089515418575,1.88,2215.162224528741
98,45.0,0.34125833824289664,1.51,2990.95670872365
99,34.0,0.7373389057308972,1.72,2809.3161717382586
100,36.0,0.7267861371485842,1.71,2931.496435152526
101,26.0,0.17052268535109766,1.56,1358.1248975778376
102,23.0,0.3021007514163172,1.55,1433.6717722850735
103,51.0,0.3418174239639124,1.7,3582.089620738651
104,54.0,0.02452828553904357,1.63,3355.742879582706
105,61.0,0.7960067936357638,1.73,5473.85171113221
106,31.0,0.7682100108596153,1.8,2662.976951961013
107,36.0,0.5642292824433383,1.81,2650.3789444060103
108,41.0,0.7485738422033505,1.91,3336.31883849046
109,55.0,0.7025869556992032,1.94,4597.008817855779
110,51.0,0.504560310430227,1.51,3844.570061442112
111,26.0,-0.11500960514328795,1.69,880.4436732563439
112,52.0,0.845060208460726,1.52,4527.850057149859
113,54.0,0.8619258977987527,1.64,4779.836615150277
114,40.0,0.19141975067915945,1.59,2320.6027404069064
115,26.0,0.6558311140509202,1.74,2190.273405613607
116,43.0,0.7343757721596718,1.77,3495.4836068377736
117,21.0,0.7932658416745678,1.59,2184.7410950991007
118,51.0,0.42178853051216875,1.73,3717.6806638220974
119,47.0,0.6415641909098646,1.96,3673.5128255537493
120,22.0,-0.027849649157749234,1.67,836.2957583832372
121,50.0,0.5962098176821549,1.73,3913.196852011074
122,45.0,0.8682981760328551,1.7,3901.106899255854
123,44.0,-0.06749653327568805,1.82,2215.537167080308
124,46.0,0.258084419579912,1.7,2954.7435132858504
125,42.0,0.32438384794641123,1.85,2706.5530363862335
126,58.0,0.8297336946951964,1.87,5163.152725369951
127,47.0,1.039727010072702,1.66,4375.896428850636
128,22.0,0.34815477623669,1.58,1470.14439325135
129,29.0,0.3661137327845516,1.91,1846.1366524785014
130,23.0,0.5003896838897547,1.7,1779.6624626125829
131,38.0,0.6194015999114427,1.98,2866.820525753537
132,35.0,0.2321183844446576,1.64,2018.163842448315
133,58.0,0.7758259014674858,1.95,5058.669257620117
134,21.0,0.19800835949685774,1.84,1169.8505436256296
135,56.0,0.7649576987277289,1.95,4812.19331296253
136,54.0,0.6677965520289013,1.93,4430.644080539374
137,46.0,-0.21824605494818994,1.6,2141.001640087745
138,46.0,0.6104638048764567,1.51,3539.606002000702
139,58.0,0.37546721657976295,1.99,4370.029995212205
140,49.0,0.24598026281608548,1.91,3201.909753532109
141,33.0,0.46165722526205494,1.79,2270.590369587722
142,63.0,0.6594792750726847,1.97,5461.992285526345
143,25.0,0.4453723140876452,1.69,1782.09293594893
144,22.0,0.6290995889447499,1.76,1952.031890098472
145,60.0,0.843619120553094,1.69,5434.112506940193
146,23.0,0.5571308672236049,1.7,1876.1224742801285
147,29.0,0.7820909320729927,1.58,2564.835858173065
148,52.0,0.03679675154209122,1.8,3162.5744111212225
149,53.0,0.4649942388513885,1.67,3999.130367998772
150,31.0,0.23973363264829167,1.82,1762.828449151073
151,43.0,0.987996094243107,1.75,3927.5946091722653
152,61.0,0.4532666855590914,1.74,4890.913877177498
153,64.0,0.6823077651555681,1.76,5654.485789656863
154,29.0,0.9052507983087905,1.91,2762.669663869708
155,51.0,0.8321264714445552,1.58,4409.896275104721
156,59.0,0.20829137189974123,1.95,4210.86055735495
157,47.0,0.4649903267180301,1.74,3398.844067147694
158,59.0,0.4533069998555051,1.99,4619.357626780966
159,49.0,0.6700091588927833,1.79,3936.78865675996
160,33.0,-0.3362456271438936,1.65,916.3836828143649
161,58.0,0.5674209196449245,1.66,4727.976075123414
162,20.0,0.6619913164600271,1.85,1916.4857328593805
163,45.0,0.19640335253120417,1.67,2758.5258612544576
164,51.0,0.40224614134645154,1.82,3679.0997139379447
165,59.0,0.3978459751269749,1.59,4552.527321968193
166,48.0,0.49647304941532594,1.6,3544.024117505721
167,22.0,0.629226323322414,1.61,1950.4578362903324
168,57.0,0.47055155907983154,1.64,4447.500239328111
169,24.0,0.8408082947246556,1.67,2405.0142629833254
170,25.0,0.3332750306322504,1.55,1582.6680469521602
171,61.0,0.36146781403260686,1.85,4726.595778732766
172,26.0,0.773382853769897,1.77,2388.795645575157
173,27.0,0.7862547967291427,1.55,2456.733649316877
174,57.0,0.10628124060915434,1.78,3827.126283587222
175,42.0,0.19739945780990426,1.64,2498.141667169235
176,27.0,0.09919919509186964,1.99,1265.3743586827857
177,60.0,0.10547303163851102,1.69,4179.264155785402
178,45.0,0.6504351690062957,1.57,3524.036588878405
179,28.0,1.0123467603725143,1.82,2899.2707662822513
180,28.0,0.4952811629841139,1.67,2025.6181390244046
181,35.0,0.9031150109518904,1.5,3144.611294279143
182,35.0,0.3068261906084482,1.8,2142.624457534029
183,55.0,0.37658271988814207,1.92,4046.2916677311255
184,31.0,1.1589916460625638,1.74,3330.646310033401
185,53.0,0.2628796802251034,1.78,3653.3436309343356
186,22.0,0.15115461301413602,1.71,1140.9228441239645
187,31.0,0.3486780763471505,1.66,1953.1132415171983
188,63.0,0.3206164998430111,1.72,4913.888081728853
189,44.0,0.48499210290522715,1.78,3157.9347494905455
190,23.0,0.6018598713106296,1.69,1952.1217832280036
191,26.0,0.9775525641505866,1.86,2727.7293196967144
192,22.0,0.3415868237726992,1.82,1458.9788740625659
193,32.0,0.912382470805053,1.54,2964.9401610093078
194,54.0,-0.1457311321905006,1.63,3066.301869442481
195,62.0,0.7234245678481095,1.93,5453.211707432028
196,60.0,0.3695897070335341,1.81,4623.491666209343
197,54.0,0.6200642967818715,1.95,4345.874529654572
198,59.0,0.9482046086180298,1.98,5462.7856405547345
199,20.0,0.9952328063182884,1.82,2486.1770443900673
200,50.0,0.6187536573471711,1.54,3941.7711781309085
201,54.0,0.7951311065259292,1.62,4665.171055645739
202,30.0,0.45831143595650725,1.68,2078.9694731217965
203,43.0,0.44861278042499025,1.74,3011.0022384495264
204,32.0,0.7624185649603787,1.82,2714.3928340816215
205,36.0,0.8549787794043975,1.62,3146.912099539135
